step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.65843487524461,12,50.0
120,121.0,84,9.712523625402387,22,167.0
130,131.0,90,9.711710653895022,22,280.0
140,141.0,99,8.288151216339074,25,345.0
150,151.0,105,8.636131198529178,26,310.0
160,161.0,110,9.655379203915556,18,75.0
170,171.0,115,10.259546548229467,17,25.0
180,181.0,120,10.020305904390503,25,135.0
190,191.0,126,9.17138397192794,30,223.0
200,201.0,130,9.594557029721445,20,171.0
210,211.0,134,9.863941770511882,26,261.0
220,221.0,139,8.70202401685167,33,313.0
230,231.0,145,8.767821109897048,33,353.0
240,241.0,149,8.163752992031524,37,469.0
250,251.0,154,8.700701025609643,37,517.0
260,261.0,158,8.520524470432917,48,819.0
270,271.0,162,9.020283108945398,31,366.0
280,281.0,159,9.170263309620093,35,194.0
290,291.0,159,9.367098345914885,44,425.0
300,301.0,159,8.894483262482568,33,408.0
310,311.0,161,8.71507858194473,40,504.0
320,321.0,160,9.503854381904926,36,585.0
330,331.0,167,10.15784294062885,32,553.0
340,341.0,168,8.982229731422787,45,577.0
350,351.0,167,8.392835752775515,43,702.0
360,361.0,167,8.175877119516935,53,687.0
370,371.0,169,8.269474397347498,47,660.0
380,381.0,171,9.00513725596599,39,636.0
390,391.0,170,9.149829970616377,33,289.0
400,401.0,170,8.839614566535724,39,437.0
410,411.0,171,7.904514213642412,47,421.0
420,421.0,172,8.05702302816566,46,340.0
430,431.0,172,7.843680767871195,51,449.0
440,441.0,170,8.143969375703279,48,620.0
450,451.0,170,8.545359956575913,48,659.0
460,461.0,171,9.35814559177925,47,676.0
470,471.0,170,9.60684845170761,36,602.0
480,481.0,174,9.463707353835039,38,579.0
490,491.0,177,9.053654591786918,51,769.0
500,501.0,180,8.112429033386087,49,933.0
