step,time,tls_id,phase_index,tls_queue_len,tls_waiting_time_snapshot,tls_mean_speed
90,91.0,cluster_318319949_3665705327,0,0,0.0,0.0
90,91.0,cluster_444929591_444929853,0,0,0.0,0.0
90,91.0,cluster_453491193_453491196,0,0,0.0,0.0
90,91.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,0,0,0.0,16.447030287915844
90,91.0,joinedS_4159783704_4159783713,4,0,0.0,0.0
100,101.0,317267021,0,0,0.0,0.0
100,101.0,318319948,2,0,0.0,0.0
100,101.0,318319950,1,1,8.0,0.0
100,101.0,344715428,2,0,0.0,0.0
100,101.0,459095577,2,0,0.0,0.0
100,101.0,459095593,2,0,0.0,13.024613315772688
100,101.0,5672981203,2,0,0.0,0.0
100,101.0,6734642660,0,0,0.0,0.0
100,101.0,728359174,2,0,0.0,0.0
100,101.0,931498932,2,0,0.0,0.0
100,101.0,cluster_12485993451_12485993457_444743027_999091207,5,0,0.0,0.0
100,101.0,cluster_12485993454_12485993455_12485993456_12485993458_#4more,6,1,18.0,0.0
100,101.0,cluster_12497859354_12497859355,2,0,0.0,21.020963919625988
100,101.0,cluster_1846673394_455570130,0,0,0.0,0.0
100,101.0,cluster_1933957591_1944596256_1944596258_500010840,1,0,0.0,0.0
100,101.0,cluster_286141464_317863064,0,0,0.0,8.578224564530823
100,101.0,cluster_317864209_317864212,0,1,13.0,0.0
100,101.0,cluster_318319949_3665705327,2,0,0.0,0.0
100,101.0,cluster_444929591_444929853,2,0,0.0,16.589528787241985
100,101.0,cluster_453491193_453491196,2,0,0.0,2.501353839901276
100,101.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,2,0,0.0,0.0
100,101.0,joinedS_4159783704_4159783713,0,0,0.0,0.0
110,111.0,317267021,0,1,6.0,0.0994686073711481
110,111.0,318319948,2,0,0.0,0.0
110,111.0,318319950,3,0,0.0,18.479813722966064
110,111.0,344715428,2,0,0.0,17.626152068040067
110,111.0,459095577,4,0,0.0,0.0
110,111.0,459095593,2,2,10.0,0.00020513967218749232
110,111.0,5672981203,2,0,0.0,0.0
110,111.0,6734642660,0,0,0.0,0.0
110,111.0,728359174,2,0,0.0,0.0
110,111.0,931498932,2,0,0.0,0.0
110,111.0,cluster_12485993451_12485993457_444743027_999091207,0,0,0.0,0.0
110,111.0,cluster_12485993454_12485993455_12485993456_12485993458_#4more,0,0,0.0,1.7316171629666226
110,111.0,cluster_12497859354_12497859355,0,0,0.0,22.76652613062962
110,111.0,cluster_1846673394_455570130,0,0,0.0,18.02610713393896
110,111.0,cluster_1933957591_1944596256_1944596258_500010840,3,0,0.0,0.0
110,111.0,cluster_286141464_317863064,0,0,0.0,3.0089637809688368
110,111.0,cluster_317864209_317864212,0,1,4.0,0.0
110,111.0,cluster_318319949_3665705327,2,0,0.0,0.0
110,111.0,cluster_444929591_444929853,4,0,0.0,6.9626776022370915
110,111.0,cluster_453491193_453491196,2,0,0.0,14.806568225961799
110,111.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,2,0,0.0,16.390231485180557
110,111.0,joinedS_4159783704_4159783713,0,0,0.0,0.0
120,121.0,317267021,0,3,26.0,0.011230811564919464
120,121.0,318319948,2,0,0.0,11.366297852672318
120,121.0,318319950,1,0,0.0,0.0
120,121.0,344715428,2,0,0.0,16.532174316107962
120,121.0,459095577,6,0,0.0,0.0
120,121.0,459095593,2,2,30.0,0.0
120,121.0,5672981203,2,0,0.0,0.0
120,121.0,6734642660,0,0,0.0,0.0
120,121.0,728359174,2,0,0.0,0.0
120,121.0,931498932,0,0,0.0,0.0
120,121.0,cluster_12485993451_12485993457_444743027_999091207,2,0,0.0,0.0
120,121.0,cluster_12485993454_12485993455_12485993456_12485993458_#4more,1,1,10.0,11.735622906534708
120,121.0,cluster_12497859354_12497859355,0,0,0.0,0.0
120,121.0,cluster_1846673394_455570130,0,0,0.0,0.0
120,121.0,cluster_1933957591_1944596256_1944596258_500010840,0,1,0.0,0.0
120,121.0,cluster_286141464_317863064,0,1,10.0,0.9496952272485941
120,121.0,cluster_317864209_317864212,0,1,14.0,0.0
120,121.0,cluster_318319949_3665705327,2,0,0.0,16.487266908613968
120,121.0,cluster_444929591_444929853,6,1,6.0,0.0001199013872827357
120,121.0,cluster_453491193_453491196,2,1,4.0,0.0
120,121.0,joinedS_3056282982_cluster_500010834_500010835_500010836_500010837,2,1,3.0,0.0006108136809667897
120,121.0,joinedS_4159783704_4159783713,0,1,3.0,0.0
130,131.0,317267021,0,3,56.0,1.9806135502360314
