step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.852870969963499,12,50.0
120,121.0,84,9.57269051536158,21,145.0
130,131.0,89,10.220303892308687,18,195.0
140,141.0,98,9.214585175949367,17,166.0
150,151.0,104,9.632759056149066,15,147.0
160,161.0,111,9.324820031162716,23,136.0
170,171.0,113,9.82462555468588,25,168.0
180,181.0,119,9.471411094916078,23,112.0
190,191.0,126,9.174502942318101,26,179.0
200,201.0,132,10.123858730656984,23,186.0
210,211.0,135,9.952079725164097,25,260.0
220,221.0,140,9.46998847691862,24,223.0
230,231.0,146,9.575024080188184,32,308.0
240,241.0,149,9.08268793982427,26,292.0
250,251.0,152,9.12415965275123,31,384.0
260,261.0,154,8.88889662401002,36,553.0
270,271.0,153,8.864934862165462,31,326.0
280,281.0,152,9.263143556529661,26,72.0
290,291.0,153,10.153128100274257,33,225.0
300,301.0,154,9.474056753616896,32,275.0
310,311.0,158,9.499916414919685,30,207.0
320,321.0,158,10.268206461470804,26,228.0
330,331.0,161,10.980626561490611,21,137.0
340,341.0,161,10.076418086881047,25,112.0
350,351.0,159,9.340801828820789,31,190.0
360,361.0,159,8.86912532723684,38,295.0
370,371.0,160,9.181632979836483,36,244.0
380,381.0,157,8.502973016560242,33,266.0
390,391.0,159,8.933608803568628,28,245.0
400,401.0,160,8.901431418889633,36,275.0
410,411.0,160,8.082429713891425,52,480.0
420,421.0,161,8.404141183576137,40,526.0
430,431.0,164,8.817671636480549,33,255.0
440,441.0,165,8.869628905074684,41,307.0
450,451.0,163,8.77409054739303,44,455.0
460,461.0,164,9.678814710988084,29,258.0
470,471.0,166,9.421267603613222,35,280.0
480,481.0,170,9.491508439568971,36,234.0
490,491.0,169,9.17537681273943,40,347.0
500,501.0,171,9.152683336506092,38,366.0
