step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
1230,1231.0,219,7.713878223102378,64,656.0
1240,1241.0,218,8.167065421580437,66,922.0
1250,1251.0,217,7.672321205194197,65,1112.0
1260,1261.0,216,7.058521445456464,76,1411.0
1270,1271.0,216,7.6920464771186685,70,1614.0
1280,1281.0,215,8.576746030987431,57,1695.0
1290,1291.0,215,8.603146186239133,60,1637.0
1300,1301.0,215,7.251098797693883,71,1508.0
1310,1311.0,218,7.575882565436867,61,1037.0
1320,1321.0,216,7.260488914634134,71,981.0
1330,1331.0,215,7.397729787128878,71,1222.0
1340,1341.0,219,7.811229630818261,70,1295.0
1350,1351.0,221,7.587731900124635,68,1243.0
1360,1361.0,220,7.575168981098272,64,1403.0
1370,1371.0,221,7.786541763321956,68,1697.0
1380,1381.0,221,8.180509785427082,58,1417.0
1390,1391.0,222,8.373809686116731,55,736.0
1400,1401.0,223,7.545175186848638,72,981.0
1410,1411.0,222,7.946105100153049,67,1174.0
1420,1421.0,220,7.579933266231215,64,1296.0
1430,1431.0,223,6.917211314143677,76,1443.0
1440,1441.0,219,7.357851662201055,72,1495.0
1450,1451.0,218,8.171983955162279,49,880.0
1460,1461.0,220,8.447977458850982,56,919.0
1470,1471.0,223,8.599597152556631,54,1185.0
1480,1481.0,221,7.072878189557659,75,1439.0
1490,1491.0,225,7.526052558751967,77,1160.0
1500,1501.0,225,8.31644311056375,66,1290.0
1510,1511.0,219,8.248066521333813,57,1103.0
1520,1521.0,220,7.407610101884955,66,794.0
1530,1531.0,224,8.749796686590754,45,355.0
1540,1541.0,222,8.490383360826563,61,589.0
1550,1551.0,219,8.101716820857135,63,781.0
1560,1561.0,221,7.947441813732832,56,651.0
1570,1571.0,224,8.259784417341653,61,628.0
1580,1581.0,223,8.416694040102229,64,1025.0
1590,1591.0,229,8.45031932636417,59,1065.0
1600,1601.0,229,7.669258130262318,64,848.0
1610,1611.0,229,7.677496140717233,67,708.0
1620,1621.0,229,8.28550329142452,57,560.0
1630,1631.0,230,8.460734380868335,67,795.0
1640,1641.0,231,7.491691274743991,69,1036.0
1650,1651.0,229,7.4238903677998405,77,1253.0
1660,1661.0,225,7.575809022026029,74,1373.0
1670,1671.0,217,8.549325172498131,37,660.0
1680,1681.0,217,8.411551710778816,49,198.0
1690,1691.0,212,8.229334147083195,57,440.0
1700,1701.0,217,7.714658030324573,53,540.0
1710,1711.0,218,7.86233355581961,61,625.0
1720,1721.0,218,7.707423315545608,71,808.0
1730,1731.0,214,8.390349870582183,54,894.0
1740,1741.0,217,8.02578226556525,65,845.0
1750,1751.0,217,7.490711290712594,65,942.0
1760,1761.0,207,7.489245333606156,74,1113.0
1770,1771.0,208,7.617116943696745,68,1306.0
1780,1781.0,206,6.8265978239671705,66,1472.0
1790,1791.0,211,6.901048626103896,67,1145.0
1800,1801.0,212,7.754328230067194,60,878.0
1810,1811.0,212,7.2620748152440235,71,1036.0
1820,1821.0,218,6.479418507713794,78,1193.0
1830,1831.0,220,6.4658016351424115,91,1677.0
1840,1841.0,217,7.157064456091884,69,1618.0
1850,1851.0,217,7.61337763955551,76,1876.0
1860,1861.0,220,7.555051279560468,76,2109.0
1870,1871.0,221,7.640388152156172,71,2465.0
1880,1881.0,222,6.821024301394599,80,2608.0
1890,1891.0,224,7.381251736994298,69,2131.0
1900,1901.0,226,8.33571835193582,55,1351.0
1910,1911.0,224,8.19772127472656,70,1485.0
1920,1921.0,228,7.182127790503904,74,1656.0
1930,1931.0,221,7.762432893513185,62,1653.0
1940,1941.0,222,7.057091300185289,75,1822.0
1950,1951.0,220,7.05457500990291,80,2162.0
1960,1961.0,221,6.898870893788702,74,2210.0
1970,1971.0,226,7.303541255811636,77,2566.0
1980,1981.0,225,7.000728166651429,74,2411.0
1990,1991.0,222,7.03536130138255,83,2803.0
2000,2001.0,225,6.923626396541257,78,3104.0
2010,2011.0,222,7.366333986878518,79,3449.0
2020,2021.0,222,6.892200524788757,94,4060.0
2030,2031.0,222,7.113731371275368,78,4032.0
2040,2041.0,226,7.476046870669982,62,3239.0
2050,2051.0,226,7.66923062187004,70,3121.0
2060,2061.0,227,7.570963000098128,68,1837.0
2070,2071.0,227,7.583264102395301,66,1843.0
2080,2081.0,229,7.844970558986908,67,1959.0
2090,2091.0,230,8.097025976231173,57,1781.0
2100,2101.0,229,7.934444782990803,64,1920.0
2110,2111.0,235,7.756246677753129,83,2513.0
2120,2121.0,229,7.140568038513254,78,2558.0
2130,2131.0,229,7.49321996422609,84,1380.0
2140,2141.0,225,7.237721103244128,65,1228.0
2150,2151.0,227,8.358237591240181,57,1068.0
2160,2161.0,228,7.632119616469667,68,906.0
2170,2171.0,234,7.947802595982622,72,1287.0
2180,2181.0,229,8.204341837859626,62,1417.0
2190,2191.0,235,8.130616461626294,72,1708.0
2200,2201.0,228,7.496082200131553,71,1890.0
2210,2211.0,228,7.284870132656935,79,2180.0
2220,2221.0,235,6.91153653161558,94,2614.0
2230,2231.0,233,6.829547011104912,80,2764.0
2240,2241.0,236,7.143060696642127,91,3050.0
2250,2251.0,239,7.109824335732958,90,3493.0
2260,2261.0,234,7.434303894775254,82,3893.0
2270,2271.0,232,7.278397412737142,85,4258.0
2280,2281.0,230,7.160322346649138,86,4101.0
2290,2291.0,235,6.682811081627861,86,4188.0
2300,2301.0,238,7.30813329505673,90,4455.0
2310,2311.0,237,8.045902915591123,73,4705.0
2320,2321.0,238,7.485098028540347,68,4701.0
2330,2331.0,236,6.754980495299626,95,5162.0
2340,2341.0,236,6.663561927824397,90,5763.0
2350,2351.0,237,6.7881452428213676,83,5850.0
2360,2361.0,238,6.247263367643619,97,6129.0
2370,2371.0,238,6.721312543056403,89,5362.0
2380,2381.0,239,6.96016804292922,75,4212.0
2390,2391.0,245,7.434880932583522,84,3054.0
2400,2401.0,246,7.489253669297627,81,1986.0
2410,2411.0,244,7.287998151104995,75,1586.0
2420,2421.0,249,6.669161383237094,93,1865.0
2430,2431.0,247,7.218469138521378,89,2244.0
2440,2441.0,246,7.506196427168773,84,2374.0
2450,2451.0,242,6.607868468933417,101,2700.0
2460,2461.0,240,6.709848836659604,86,2897.0
2470,2471.0,238,6.90668099416196,86,3058.0
